album_uri,album_name,artist,release_date,album_type
6guJZpZ52v4MrJKIH7tASl,i am > i was (Deluxe),21 Savage,2018-12-24,album
007DWn799UWvfY1wwZeENR,i am > i was,21 Savage,2018-12-21,album
3IO8IPjwXuzPJnoaqkwYrj,NOT ALL HEROES WEAR CAPES (Deluxe),"Metro Boomin, Travis Scott, 21 Savage",2018-11-06,album
0MV1yCXcNNQBfwApqAVkH0,Without Warning,"21 Savage, Offset, Metro Boomin",2017-10-30,album
4QUNWTw2FsIz722xjUjFJw,Issa Album,21 Savage,2017-09-23,album
4I3EcXD4e3KcEoDJfFEZ5b,Savage Mode,"21 Savage, Metro Boomin",2016-07-15,album
1HSyuTHvLXMWyPJQGnQTLw,Slaughter King,21 Savage,2016-05-16,album
3l2umvdEq50qZ5fmw4iHcI,The Slaughter Tape,21 Savage,2016-05-15,album
7xgzD7onYd1Pms93ZOtxxX,Immortal,21 Savage,2019-10-31,album
3SUrSBw1oY5yX0Zlpiux7M,Show Me Love (feat. 21 Savage & Miguel),"Alicia Keys, 21 Savage",2019-10-30,album
7573vI8N5aDdqoaeSOgflW,Motivation (with 21 Savage) [Savage Remix],"Normani, 21 Savage",2019-10-28,album
7gweQOZRW1sGNVXuxsjC2C,Triggered (Remix),"Jhené Aiko, 21 Savage, Summer Walker",2019-10-02,album
7xG4qbKyDm9f6hh38MHgHD,Hulk Hogan (Remix),"Slum Homies, 21 Savage, Ric Flair Drip",2018-06-05,album
0mCHJHcYACJZKmRmUMkoOi,Outstanding (feat. 21 Savage),"SahBabii, 21 Savage",2018-04-20,album
6xE4rxigiSpQlc60G646bh,4 5 (Remix),"Don Ace, 21 Savage",2018-04-06,album
091cZVoTJrlORPHFyuJQFi,Rover 2.0 (feat. 21 Savage),"BlocBoy JB, 21 Savage",2018-03-23,album
0xpKlXFqcZuIxCcN2rZj7j,Cocky (feat. London On Da Track),"A$AP Rocky, Gucci Mane, 21 Savage",2018-02-16,album
2qmmPaaWXRM1kZujpUKKsO,Soldier 2 Soldier (Collector's Edition),"Dead Prez, Outlawz, 2Pac",2010-11-23,album
5y1YRK4BJCQWKLHr9gcUMK,Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes),2Pac,2007-07-03,album
5eVcXpQNaB4ILrocqaUdmT,Pac's Life,2Pac,2006-01-01,album
2d3RwSNxvWKiKLfJtsJj8v,The Rose - Volume 2 - Music Inspired By 2pac's Poetry,2Pac,2005-09-20,album
1qzfkoM52XWcEzmm8akE26,Live at the House Of Blues,2Pac,2005-09-20,album
7vwU5cQW3RZ4XrJaglir2x,All Eyez On Me,2Pac,2005,album
3bCGjEpp17jWKqyKzATiny,Live,2Pac,2004-08-10,album
33lk2GnP8cJzl7cd1OJrXn,Loyal To The Game,2Pac,2004-01-01,album
3MJVucN9nO8WHaLo3KHuWO,Resurrection,2Pac,2003-11-14,album
2QVE1PUAtL4eO7CVAgwdnu,Resurrection (Music From And Inspired By The Motion Picture),2Pac,2003-11-04,album
27Ay0IVSnhfYB2XTEW8gn0,Nu-mixx Klazzics,2Pac,2003-10-07,album
0KmKhrRc4dFTA5dHMJlm5w,Animal Ambition: An Untamed Desire To Win,50 Cent,2014-06-03,album
7eEjgXDzF8rNVUwuiXtB7Y,Before I Self-Destruct,50 Cent,2009-01-01,album
5SGg2y6qyIqGg78XTmaYv4,Before I Self-Destruct - The Selects,50 Cent,2009-01-01,album
3AgCuejBHH780ROyGkKUvj,Bullet Proof,"50 Cent, DJ Whoo Kid",2007-01-30,album
5VfBwkAoSsQwtZjPU0Gr7h,Curtis,50 Cent,2007-01-01,album
7hVj5YSiBCxZmzjnsVwKKC,Live At The Hard Rock (Edited Version),50 Cent,2007-01-01,album
3LtIWfN1EITld1LloQwl2O,Get Rich Or Die Tryin,50 Cent,2007-01-01,album
2pidzXTaHV4WaIJYRxKDCH,The Massacre,50 Cent,2005-03-03,album
2UpMdkZlJUuiJ2QYETOrSu,Rare,50 Cent,2003-10-15,album
0OfzVAXf5aVP4W4NIOLTKj,Get Rich Or Die Tryin',50 Cent,2003-02-06,album
2mcz6GlxpD5trOijFZE9Hm,Big Rich Town Power Remix,50 Cent,2019-07-12,album
1GHkv48TNqI8MKWJ1FwKFC,Remember The Name (feat. Eminem & 50 Cent),"Ed Sheeran, Eminem, 50 Cent",2019-07-11,album
3WvQpufOsPzkZvcSuynCf3,We got it from Here... Thank You 4 Your service,A Tribe Called Quest,2016-11-11,album
0FH3WsTCWaDmfpEojJ4sN2,The Love Movement,A Tribe Called Quest,1998-09-29,album
0EguP4tsJurU5I8ocCxdyb,"Beats, Rhymes & Life",A Tribe Called Quest,1996-07-30,album
4v5x3Oo3UjQ9YmF3hRAip5,Midnight Marauders,A Tribe Called Quest,1993-11-09,album
1p12OAWwudgMqfMzjMvl2a,The Low End Theory,A Tribe Called Quest,1991-09-24,album
3kV0i1qqudjf0PGawJ4jck,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,1990-04-17,album
6bI4IQKBcLX0KsTjQ9NR97,Floor Seats,A$AP Ferg,2019-08-16,album
0tQ7Iu6EicQTPyhYRNWjaT,Still Striving,A$AP Ferg,2017-08-18,album
2h5LDCGJCWUyaoEXQZHky6,ALWAYS STRIVE AND PROSPER,A$AP Ferg,2016-06-22,album
3smlfAmejcKMmAPg1G2Kki,Trap Lord,A$AP Ferg,2013-08-19,album
3bQVjc0NH5rVJxndr70bwk,REDLIGHT (Justin Jay Remix),"NGHTMRE, A$AP Ferg, Justin Jay",2019-10-18,album
6UgZHNJFfmKLSGLuW9T114,Bezerk,"Big Sean, Hit-Boy, A$AP Ferg",2019-08-26,album
4V8XHsaNdS0PF6p8Xh77tK,REDLIGHT (Crankdat Remix),"NGHTMRE, A$AP Ferg, Crankdat",2019-07-26,album
5JlXMsjusyKCThXakOe4eh,REDLIGHT (Effin Remix),"NGHTMRE, A$AP Ferg, Effin",2019-07-26,album
7IgHTf3cYdcnuBJ1BC7W29,REDLIGHT (Holy Goof Remix),"NGHTMRE, A$AP Ferg, Holy Goof",2019-07-26,album
1opbVvrgNu3y8qFERjLQW1,WAM,"A$AP Ferg, MadeinTYO",2019-07-15,album
