artist_name,artist_uri
21 Savage,1URnnhqYAYcrqrcwql10ft
2Pac,1ZwdS5xdxEREPySFridCfh
50 Cent,3q7HBObVc0L8jNeTe5Gofh
A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL
A$AP Mob,7yO4IdJjCEPz7YgZMe25iS
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca
Ab-Soul,0g9vAlRPK9Gt3FKCekk4TW
Big K.R.I.T.,0CKa42Jqrc9fSFbDjePaXP
Black Star,67ei8ib6PLT1w3OkhIb4fB
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs
Chief Keef,15iVAtD3s3FsQR4w1v6M0P
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
Clipse,2J257euzcjnDLipsyJH3F2
Common,2GHclqNVjqGuiE5mA7BEoc
Danny Brown,7aA592KWirLsnfb5ulGWvU
Death Grips,5RADpgYLOuS2ZxDq7ggYYH
Denzel Curry,6fxyWrfmjcbj5d12gXeiNV
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7
Drake,3TVXtAsR1Inumwj472S9r4
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
Eminem,7dGJo4pcD2V6oG8kP0tJRR
Frank Ocean,2h93pZq0e7k5yf4dywlkpM
Freddie Gibbs,0Y4inQK6OespitzD6ijMwb
Future,1RyvyyTE3xzB2ZywiAwp0i
Ghostface Killah,6FD0unjzGQhX3b6eMccMJe
GZA,6ns6XAOsw4B0nDUIovAOUO
Isaiah Rashad,6aaMZ3fcfLv4tEbmY7bjRM
J Dilla,0IVcLMMbm05VIjnzPkGCyp
J. Cole,6l3HvQ5sa6mXTsMTB19rO5
JID,6U3ybJ9UHNKEdsH7ktGBZ7
Jay Rock,28ExwzUQsvgJooOI0X1mr3
Joey Bada$$,2P5sC9cVZDToPxyomzF1UH
JPEGMAFIA,6yJ6QQ3Y5l0s0tn7b0arrO
Kanye West,5K4W6rqBFWDnAN6FQUkS6x
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu
Killer Mike,2N4EYkIlG1kv25g6Wv8LGI
Lil Pump,3wyVrVrFCkukjdVIdirGVY
Lil Ugly Mane,2gPLG9mGaU67woC5L0luYA
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
Lil Wayne,55Aa2cqylxrFIXC767Z865
Lil Yachty,6icQOAFXDZKsumw3YXyusw
Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf
Mac Miller,4LLpKhyESsyAXpc4laK94U
Madvillain,2aoFQUeHD1U7pL098lRsDU
Meek Mill,20sxb77xiYeusSH8cVdatc
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW
Mick Jenkins,1FvjvACFvko2Z91IvDljrx
Migos,6oMuImdp5ZcFhWP0ESe6mG
Mobb Deep,6O2zJ0tId7g07yzHtX0yap
Mos Def,0Mz5XE0kb1GBnbLQm2VbcO
N.W.A.,4EnEZVjo3w1cwcQYePccay
Noname,1EpyA68dKpjf7jXmQL88Hy
Nujabes,3Rq3YOF9YG9YfCWD4D56RZ
Playboi Carti,699OTQXzgjhIYAHMy9RyPD
Post Malone,246dkjvS1zLTtiykXe5h60
Pusha T,0ONHkAv9pCAFxb0zJwDNTy
Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D
Raekwon,2yQf6b8hxahZaT5dHlWaB1
Rich Gang,6h2J3dxLnTyURwIUBumKog
Run The Jewels,4RnBFZRiMLRyZy0AzzTg2C
ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m
ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG
SZA,7tYKF4w9nC0nq9CsPZTHyP
The Game,0NbfKEOTQCcwd6o7wSDOHI
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF
UGK,6ZhjJOJXXwnPS8PrXdmjLw
Vince Staples,68kEuyFKyqrdQQLLsmiatm
Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk
YG,0A0FS04o6zMoto8OKPsDwY
Young Thug,50co4Is1HCEo8bhOyUWKpn
