"","album_uri","album_name","album_img","album_release_date","album_release_year","base_album_name","base_album","num_albums","num_base_albums","album_rank","artist"
"1","3l2umvdEq50qZ5fmw4iHcI","The Slaughter Tape","https://i.scdn.co/image/ab67616d0000b2734cd4d4a0f03555d9fe8e55f4","2016-05-15",2016-05-15,"the slaughter tape",TRUE,1,1,1,"21 Savage"
"2","1HSyuTHvLXMWyPJQGnQTLw","Slaughter King","https://i.scdn.co/image/ab67616d0000b2733d945468825e08e5743d244e","2016-05-16",2016-05-16,"slaughter king",TRUE,1,1,2,"21 Savage"
"3","4I3EcXD4e3KcEoDJfFEZ5b","Savage Mode","https://i.scdn.co/image/ab67616d0000b2732dd1ac4a61495080ef8f78ca","2016-07-15",2016-07-15,"savage mode",TRUE,1,1,3,"21 Savage"
"4","4PUFxNR729saTb49K0pQBK","21 Gang","https://i.scdn.co/image/ab67616d0000b2732e7d89432a82cf4cfa78a6a9","2016-10-28",2016-10-28,"21 gang",TRUE,1,1,4,"21 Savage"
"5","6rmP5ImdMFsE0TOseCuG8B","21 UZI","https://i.scdn.co/image/ab67616d0000b27388378f3380801ed45b63ccc6","2017-02-17",2017-02-17,"21 uzi",TRUE,1,1,5,"21 Savage"
"6","4QUNWTw2FsIz722xjUjFJw","Issa Album","https://i.scdn.co/image/ab67616d0000b273ac3c0aecec76cd7b5a54795e","2017-09-23",2017-09-23,"issa album",TRUE,1,1,6,"21 Savage"
"7","0MV1yCXcNNQBfwApqAVkH0","Without Warning","https://i.scdn.co/image/ab67616d0000b2730f206fe737d46f2f2d826d83","2017-10-30",2017-10-30,"without warning",TRUE,1,1,7,"21 Savage"
"8","007DWn799UWvfY1wwZeENR","i am > i was","https://i.scdn.co/image/ab67616d0000b273280689ecc5e4b2038bb5e4bd","2018-12-21",2018-12-21,"i am > i was",TRUE,1,1,8,"21 Savage"
"9","5Ijk8JGsEkwCZd5i0Iy09a","2Pacalypse Now","https://i.scdn.co/image/afbe30a407de2ebf4c3fff7d12db97e5f2dddad2","1991-11-12",1991-11-12,"2pacalypse now",TRUE,1,1,1,"2Pac"
"10","7FK1855C3n1Q0RKbmvl7ll","Strictly 4 My N.I.G.G.A.Z...","https://i.scdn.co/image/199585f0d6ab18e1793733340ef44f3e1f38d313","1993-02-16",1993-02-16,"strictly 4 my n.i.g.g.a.z...",TRUE,1,1,2,"2Pac"
"11","3OrucS4sHv6Bl9GS4rafEk","Me Against The World","https://i.scdn.co/image/1af92e7384c7ffa04bcdc6d1a10f4ac567e36d85","1995-01-01",1995-01-01,"me against the world",TRUE,1,1,3,"2Pac"
"12","7zURSbIVZ5vl3NIKkrVRvl","R U Still Down? [Remember Me]","https://i.scdn.co/image/40ab9846082bcdcceb7b764806a39c0d839e41f7","1997-01-01",1997-01-01,"r u still down? [remember me]",TRUE,1,1,4,"2Pac"
